new_feature,max_abs_rho,most_correlated_existing,most_correlated_existing_rho,top5_correlated_existing
f010_h1_modulation_bandwidth,0.3639395005522234,arousal,0.3639395005522234,arousal=0.364; dominance=0.351; pitch_std=0.324; pitch_mean=0.272; pitch_median=0.252
f010_h1_modulation_centroid,0.3476821925183413,total_pause_ratio,-0.3476821925183413,total_pause_ratio=-0.348; longest_pause_dur=-0.324; arousal=0.317; pause_dur_mean=-0.307; dominance=0.302
f010_h1_modulation_dominant_freq,0.4401625354490963,pause_dur_mean,-0.4401625354490963,pause_dur_mean=-0.440; longest_pause_dur=-0.431; pause_dur_std=-0.337; total_pause_ratio=-0.316; n_valid_formant_frames=-0.232
f010_h1_modulation_entropy,0.6916043532879622,n_frames,0.6916043532879622,n_frames=0.692; n_valid_formant_frames=0.691; n_valid_frames=0.691; n_periods=0.689; n_notes=0.656
f010_h1_modulation_high_rate_energy,0.8698342980204146,energy_std,0.8698342980204146,energy_std=0.870; energy_mean=0.866; mfcc_1_mean=0.834; spectral_rolloff_mean=-0.572; spectral_centroid_mean=-0.565
f010_h1_modulation_low_rate_energy,0.8769285494533415,energy_std,0.8769285494533415,energy_std=0.877; energy_mean=0.857; mfcc_1_mean=0.814; spectral_rolloff_mean=-0.546; spectral_centroid_mean=-0.540
f010_h2_modulation_bandwidth,0.26229396472724154,dominance,0.26229396472724154,dominance=0.262; arousal=0.260; pitch_mean=0.205; zcr_mean=-0.199; mfcc_2_std=-0.196
f010_h2_modulation_centroid,0.3562556701012895,pitch_mean,0.3562556701012895,pitch_mean=0.356; pitch_median=0.342; total_pause_ratio=-0.342; arousal=0.334; dominance=0.326
f010_h2_modulation_dominant_freq,0.46033236031599467,longest_pause_dur,-0.46033236031599467,longest_pause_dur=-0.460; pause_dur_mean=-0.457; pause_dur_std=-0.376; total_pause_ratio=-0.367; ioi_std=-0.279
f010_h2_modulation_entropy,0.7048281574853651,n_periods,0.7048281574853651,n_periods=0.705; n_frames=0.697; n_valid_formant_frames=0.696; n_valid_frames=0.696; n_notes=0.645
f010_h2_modulation_high_rate_energy,0.8923365879268306,energy_std,0.8923365879268306,energy_std=0.892; energy_mean=0.879; mfcc_1_mean=0.837; spectral_rolloff_mean=-0.552; spectral_centroid_mean=-0.535
f010_h2_modulation_low_rate_energy,0.8980286316472611,energy_std,0.8980286316472611,energy_std=0.898; energy_mean=0.874; mfcc_1_mean=0.821; spectral_rolloff_mean=-0.529; mfcc_4_mean=-0.526
f010_h3_modulation_bandwidth,0.2359782093183284,shimmer_local,0.2359782093183284,shimmer_local=0.236; spectral_centroid_std=-0.229; jitter_local=0.226; interval_abs_std=0.217; zcr_mean=-0.216
f010_h3_modulation_centroid,0.24858656669051862,n_valid_formant_frames,-0.24858656669051862,n_valid_formant_frames=-0.249; n_valid_frames=-0.249; n_frames=-0.247; longest_pause_dur=-0.243; ioi_std=-0.238
f010_h3_modulation_dominant_freq,0.41470225989728965,longest_pause_dur,-0.41470225989728965,longest_pause_dur=-0.415; pause_dur_mean=-0.386; total_pause_ratio=-0.342; pause_dur_std=-0.340; pitch_median=0.298
f010_h3_modulation_entropy,0.6639701114797554,n_frames,0.6639701114797554,n_frames=0.664; n_valid_formant_frames=0.662; n_valid_frames=0.662; n_notes=0.623; n_periods=0.617
f010_h3_modulation_high_rate_energy,0.8880593860361301,energy_std,0.8880593860361301,energy_std=0.888; energy_mean=0.869; mfcc_1_mean=0.818; mfcc_4_mean=-0.533; spectral_rolloff_mean=-0.521
f010_h3_modulation_low_rate_energy,0.883624028088061,energy_std,0.883624028088061,energy_std=0.884; energy_mean=0.858; mfcc_1_mean=0.799; mfcc_4_mean=-0.527; spectral_rolloff_mean=-0.497
f010_h4_modulation_bandwidth,0.28488023718379457,mfcc_2_std,-0.28488023718379457,mfcc_2_std=-0.285; pitch_std=0.237; partial_roughness_mean=0.235; interval_abs_mean=0.233; interval_abs_std=0.230
f010_h4_modulation_centroid,0.2191170954374385,pitch_median,0.2191170954374385,pitch_median=0.219; pitch_mean=0.216; mfcc_2_std=-0.215; ioi_mean=-0.194; interval_abs_mean=0.192
f010_h4_modulation_dominant_freq,0.3479313359718268,longest_pause_dur,-0.3479313359718268,longest_pause_dur=-0.348; pause_dur_mean=-0.311; total_pause_ratio=-0.305; pause_dur_std=-0.286; spectral_flux_std=0.224
f010_h4_modulation_entropy,0.6505648685563026,n_frames,0.6505648685563026,n_frames=0.651; n_valid_formant_frames=0.649; n_valid_frames=0.649; n_periods=0.627; n_notes=0.606
f010_h4_modulation_high_rate_energy,0.8779310091484742,energy_std,0.8779310091484742,energy_std=0.878; energy_mean=0.861; mfcc_1_mean=0.814; mfcc_4_mean=-0.540; spectral_rolloff_mean=-0.524
f010_h4_modulation_low_rate_energy,0.8673042821523307,energy_std,0.8673042821523307,energy_std=0.867; energy_mean=0.845; mfcc_1_mean=0.794; mfcc_4_mean=-0.547; mfcc_2_std=0.508
f010_h5_modulation_bandwidth,0.25608464814814413,interval_abs_std,0.25608464814814413,interval_abs_std=0.256; mfcc_2_std=-0.252; interval_abs_mean=0.247; hist_large_fall=0.234; pitch_std=0.214
f010_h5_modulation_centroid,0.2100999026439355,interval_abs_mean,0.2100999026439355,interval_abs_mean=0.210; interval_abs_std=0.203; mfcc_2_std=-0.192; ioi_mean=-0.186; notes_per_sec=0.184
f010_h5_modulation_dominant_freq,0.3575098792356941,longest_pause_dur,-0.3575098792356941,longest_pause_dur=-0.358; pause_dur_mean=-0.328; total_pause_ratio=-0.306; pause_dur_std=-0.294; ioi_std=-0.242
f010_h5_modulation_entropy,0.6572578808219322,n_frames,0.6572578808219322,n_frames=0.657; n_valid_formant_frames=0.656; n_valid_frames=0.656; n_periods=0.633; n_notes=0.606
